"","año","mes","ccaa","nivel","volumen"
"1","2014","Abril","Andalucía","1",85328.27
"2","2014","Abril","Andalucía","2",105551.82
"3","2014","Abril","Andalucía","3",150657.98
"4","2014","Abril","Andalucía","4",29620.11
"5","2014","Abril","Andalucía","5",34072.68
"6","2014","Abril","Aragón","1",12668.97
"7","2014","Abril","Aragón","2",19299.67
"8","2014","Abril","Aragón","3",28236.34
"9","2014","Abril","Aragón","4",5861.77
"10","2014","Abril","Aragón","5",4522.85
"11","2014","Abril","Asturias, Principado de","1",11795.46
"12","2014","Abril","Asturias, Principado de","2",14648.95
"13","2014","Abril","Asturias, Principado de","3",25190.84
"14","2014","Abril","Asturias, Principado de","4",4299.6
"15","2014","Abril","Asturias, Principado de","5",2948.29
"16","2014","Abril","Canarias","1",30542.39
"17","2014","Abril","Canarias","2",25386.99
"18","2014","Abril","Canarias","3",33268.64
"19","2014","Abril","Canarias","4",6737.92
"20","2014","Abril","Canarias","5",8724.11
"21","2014","Abril","Cantabria","1",6466.25
"22","2014","Abril","Cantabria","2",8333.27
"23","2014","Abril","Cantabria","3",15848.36
"24","2014","Abril","Cantabria","4",2009.48
"25","2014","Abril","Cantabria","5",1803.39
"26","2014","Abril","Castilla y León","1",24882.93
"27","2014","Abril","Castilla y León","2",38373.11
"28","2014","Abril","Castilla y León","3",58420.07
"29","2014","Abril","Castilla y León","4",12746.14
"30","2014","Abril","Castilla y León","5",7606.36
"31","2014","Abril","Castilla-La Mancha","1",19931.32
"32","2014","Abril","Castilla-La Mancha","2",24854.94
"33","2014","Abril","Castilla-La Mancha","3",45194.8
"34","2014","Abril","Castilla-La Mancha","4",8385.75
"35","2014","Abril","Castilla-La Mancha","5",7433.91
"36","2014","Abril","Cataluña","1",82559.46
"37","2014","Abril","Cataluña","2",104148.84
"38","2014","Abril","Cataluña","3",128952.62
"39","2014","Abril","Cataluña","4",28390.61
"40","2014","Abril","Cataluña","5",26986.48
"41","2014","Abril","Extremadura","1",10897.48
"42","2014","Abril","Extremadura","2",13045.42
"43","2014","Abril","Extremadura","3",21012.42
"44","2014","Abril","Extremadura","4",3829.31
"45","2014","Abril","Extremadura","5",4612.28
"46","2014","Abril","Galicia","1",27904.91
"47","2014","Abril","Galicia","2",39404.96
"48","2014","Abril","Galicia","3",59908.68
"49","2014","Abril","Galicia","4",10765.12
"50","2014","Abril","Galicia","5",7275.9
"51","2014","Abril","Islas Baleares","1",15461.48
"52","2014","Abril","Islas Baleares","2",13304.53
"53","2014","Abril","Islas Baleares","3",20669.26
"54","2014","Abril","Islas Baleares","4",4398.79
"55","2014","Abril","Islas Baleares","5",4006.17
"56","2014","Abril","La Rioja","1",2438.52
"57","2014","Abril","La Rioja","2",4515.27
"58","2014","Abril","La Rioja","3",6882.19
"59","2014","Abril","La Rioja","4",1474.3
"60","2014","Abril","La Rioja","5",1094.6
"61","2014","Abril","Madrid, Comunidad de","1",42883.28
"62","2014","Abril","Madrid, Comunidad de","2",89155.96
"63","2014","Abril","Madrid, Comunidad de","3",120395.91
"64","2014","Abril","Madrid, Comunidad de","4",24408.49
"65","2014","Abril","Madrid, Comunidad de","5",22508.11
"66","2014","Abril","Murcia, Región de","1",16288.78
"67","2014","Abril","Murcia, Región de","2",17308
"68","2014","Abril","Murcia, Región de","3",24035.32
"69","2014","Abril","Murcia, Región de","4",4911.69
"70","2014","Abril","Murcia, Región de","5",7241.35
"71","2014","Abril","Navarra, Comunidad Foral de","1",5600.11
"72","2014","Abril","Navarra, Comunidad Foral de","2",10097.2
"73","2014","Abril","Navarra, Comunidad Foral de","3",15057.93
"74","2014","Abril","Navarra, Comunidad Foral de","4",2404.73
"75","2014","Abril","Navarra, Comunidad Foral de","5",1635.73
"76","2014","Abril","País Vasco","1",16947.77
"77","2014","Abril","País Vasco","2",32958.09
"78","2014","Abril","País Vasco","3",42930.91
"79","2014","Abril","País Vasco","4",8239.04
"80","2014","Abril","País Vasco","5",6106.38
"81","2014","Abril","Valenciana, Comunidad","1",60164.38
"82","2014","Abril","Valenciana, Comunidad","2",66600.09
"83","2014","Abril","Valenciana, Comunidad","3",94221.59
"84","2014","Abril","Valenciana, Comunidad","4",19714.78
"85","2014","Abril","Valenciana, Comunidad","5",18328.66
"86","2014","Agosto","Andalucía","1",84883.71
"87","2014","Agosto","Andalucía","2",109992.88
"88","2014","Agosto","Andalucía","3",132913.64
"89","2014","Agosto","Andalucía","4",28981.84
"90","2014","Agosto","Andalucía","5",36321.6
"91","2014","Agosto","Aragón","1",11349.16
"92","2014","Agosto","Aragón","2",25769.71
"93","2014","Agosto","Aragón","3",23077.98
"94","2014","Agosto","Aragón","4",5009.28
"95","2014","Agosto","Aragón","5",4033.4
"96","2014","Agosto","Asturias, Principado de","1",12164.97
"97","2014","Agosto","Asturias, Principado de","2",15910.57
"98","2014","Agosto","Asturias, Principado de","3",22624.72
"99","2014","Agosto","Asturias, Principado de","4",4099.59
"100","2014","Agosto","Asturias, Principado de","5",2879.73
"101","2014","Agosto","Canarias","1",31222.44
"102","2014","Agosto","Canarias","2",29400.57
"103","2014","Agosto","Canarias","3",34449.74
"104","2014","Agosto","Canarias","4",7042.73
"105","2014","Agosto","Canarias","5",9015.56
"106","2014","Agosto","Cantabria","1",5498.31
"107","2014","Agosto","Cantabria","2",12152.27
"108","2014","Agosto","Cantabria","3",14034.42
"109","2014","Agosto","Cantabria","4",2148.59
"110","2014","Agosto","Cantabria","5",1774.81
"111","2014","Agosto","Castilla y León","1",26876.05
"112","2014","Agosto","Castilla y León","2",51168.28
"113","2014","Agosto","Castilla y León","3",51225.01
"114","2014","Agosto","Castilla y León","4",11248.99
"115","2014","Agosto","Castilla y León","5",7777.7
"116","2014","Agosto","Castilla-La Mancha","1",21860.95
"117","2014","Agosto","Castilla-La Mancha","2",28559.71
"118","2014","Agosto","Castilla-La Mancha","3",39811.32
"119","2014","Agosto","Castilla-La Mancha","4",8635.07
"120","2014","Agosto","Castilla-La Mancha","5",8306.66
"121","2014","Agosto","Cataluña","1",78766.52
"122","2014","Agosto","Cataluña","2",109128.46
"123","2014","Agosto","Cataluña","3",110657.97
"124","2014","Agosto","Cataluña","4",25275.18
"125","2014","Agosto","Cataluña","5",27435.05
"126","2014","Agosto","Extremadura","1",12858.53
"127","2014","Agosto","Extremadura","2",14885.58
"128","2014","Agosto","Extremadura","3",18691.56
"129","2014","Agosto","Extremadura","4",3750.9
"130","2014","Agosto","Extremadura","5",4278.41
"131","2014","Agosto","Galicia","1",28531.2
"132","2014","Agosto","Galicia","2",49506.87
"133","2014","Agosto","Galicia","3",53493.73
"134","2014","Agosto","Galicia","4",11443.75
"135","2014","Agosto","Galicia","5",7153.8
"136","2014","Agosto","Islas Baleares","1",18150.93
"137","2014","Agosto","Islas Baleares","2",17717.25
"138","2014","Agosto","Islas Baleares","3",20294.4
"139","2014","Agosto","Islas Baleares","4",3919.36
"140","2014","Agosto","Islas Baleares","5",4267.86
"141","2014","Agosto","La Rioja","1",2600.73
"142","2014","Agosto","La Rioja","2",4780.96
"143","2014","Agosto","La Rioja","3",6201.65
"144","2014","Agosto","La Rioja","4",1480.15
"145","2014","Agosto","La Rioja","5",1028.43
"146","2014","Agosto","Madrid, Comunidad de","1",32949.61
"147","2014","Agosto","Madrid, Comunidad de","2",76903.15
"148","2014","Agosto","Madrid, Comunidad de","3",88666.6
"149","2014","Agosto","Madrid, Comunidad de","4",18873.41
"150","2014","Agosto","Madrid, Comunidad de","5",22082.3
"151","2014","Agosto","Murcia, Región de","1",15063.33
"152","2014","Agosto","Murcia, Región de","2",19492.48
"153","2014","Agosto","Murcia, Región de","3",23766.8
"154","2014","Agosto","Murcia, Región de","4",4898.29
"155","2014","Agosto","Murcia, Región de","5",7855.71
"156","2014","Agosto","Navarra, Comunidad Foral de","1",6036.92
"157","2014","Agosto","Navarra, Comunidad Foral de","2",12720.43
"158","2014","Agosto","Navarra, Comunidad Foral de","3",12875.48
"159","2014","Agosto","Navarra, Comunidad Foral de","4",2645.4
"160","2014","Agosto","Navarra, Comunidad Foral de","5",1803.7
"161","2014","Agosto","País Vasco","1",15527.23
"162","2014","Agosto","País Vasco","2",32956.18
"163","2014","Agosto","País Vasco","3",38440.74
"164","2014","Agosto","País Vasco","4",7559.46
"165","2014","Agosto","País Vasco","5",5311.27
"166","2014","Agosto","Valenciana, Comunidad","1",57400.59
"167","2014","Agosto","Valenciana, Comunidad","2",70948.02
"168","2014","Agosto","Valenciana, Comunidad","3",80611.17
"169","2014","Agosto","Valenciana, Comunidad","4",18145.22
"170","2014","Agosto","Valenciana, Comunidad","5",21759.86
"171","2014","Diciembre","Andalucía","1",82885.13
"172","2014","Diciembre","Andalucía","2",91363.5
"173","2014","Diciembre","Andalucía","3",156159.67
"174","2014","Diciembre","Andalucía","4",38370.4
"175","2014","Diciembre","Andalucía","5",33528.87
"176","2014","Diciembre","Aragón","1",12953.54
"177","2014","Diciembre","Aragón","2",19483.51
"178","2014","Diciembre","Aragón","3",28932.33
"179","2014","Diciembre","Aragón","4",7958.76
"180","2014","Diciembre","Aragón","5",4639.73
"181","2014","Diciembre","Asturias, Principado de","1",12406.37
"182","2014","Diciembre","Asturias, Principado de","2",13683.89
"183","2014","Diciembre","Asturias, Principado de","3",26558.83
"184","2014","Diciembre","Asturias, Principado de","4",5902.95
"185","2014","Diciembre","Asturias, Principado de","5",2895.96
"186","2014","Diciembre","Canarias","1",30255.52
"187","2014","Diciembre","Canarias","2",24337.65
"188","2014","Diciembre","Canarias","3",32727.55
"189","2014","Diciembre","Canarias","4",8549.55
"190","2014","Diciembre","Canarias","5",8243.64
"191","2014","Diciembre","Cantabria","1",5616.28
"192","2014","Diciembre","Cantabria","2",8587.08
"193","2014","Diciembre","Cantabria","3",13326.25
"194","2014","Diciembre","Cantabria","4",2905.1
"195","2014","Diciembre","Cantabria","5",1897.59
"196","2014","Diciembre","Castilla y León","1",26303.36
"197","2014","Diciembre","Castilla y León","2",34108.11
"198","2014","Diciembre","Castilla y León","3",62713.23
"199","2014","Diciembre","Castilla y León","4",14803.84
"200","2014","Diciembre","Castilla y León","5",7907.54
"201","2014","Diciembre","Castilla-La Mancha","1",21413.77
"202","2014","Diciembre","Castilla-La Mancha","2",23584.62
"203","2014","Diciembre","Castilla-La Mancha","3",47740.43
"204","2014","Diciembre","Castilla-La Mancha","4",11583.68
"205","2014","Diciembre","Castilla-La Mancha","5",7711.51
"206","2014","Diciembre","Cataluña","1",86722.11
"207","2014","Diciembre","Cataluña","2",97768.73
"208","2014","Diciembre","Cataluña","3",134550.63
"209","2014","Diciembre","Cataluña","4",36414.87
"210","2014","Diciembre","Cataluña","5",28791.83
"211","2014","Diciembre","Extremadura","1",11077.24
"212","2014","Diciembre","Extremadura","2",11930.28
"213","2014","Diciembre","Extremadura","3",20445.64
